issue,titre,url,type,scope,priorite,milestone,resume,etat_code,confiance_etat,preuve_locale,score_detection,premier_commit,date_premier_commit,sujet_premier_commit,confiance_premier_commit,dernier_commit,date_dernier_commit,sujet_dernier_commit,confiance_dernier_commit,prochaine_action
150,[ANALYTICS-11] Back-Office React — CSV Export Button,https://github.com/Ken-Andre/bicec-veripass/issues/150,Task,"frontend, backoffice, analytics",low,M6 - Analytics & Demo,"Back-Office React — CSV Export Button: Bouton ""Exporter CSV"" sur toutes les pages analytics (funnel, OCR, agents); Appel GET /analytics/export?table={}&format=csv → déclencher téléchargement",Partiellement terminé,moyenne,"fichiers proches: `CHANGELOG.md`, `code/mobile/src/views/kyc/OcrReviewScreen.tsx`, `code/backoffice/src/pages/analytics/FunnelAnalyticsPage.tsx`",13,,,,,,,,,Planifier le reste à faire ou expliciter le périmètre réellement livré.
149,[ANALYTICS-10] Backend — COBAC PDF Report Generator,https://github.com/Ken-Andre/bicec-veripass/issues/149,Task,"backend, analytics",medium,M6 - Analytics & Demo,"Backend — COBAC PDF Report Generator: Créer services/reporting/cobac_pdf_generator.py avec ReportLab ou WeasyPrint; Template PDF : entête BICEC, summary client, scores biométriques, historique audit",Terminé probable,haute,"`compliance` dans `CHANGELOG.md`; fichiers proches: `CHANGELOG.md`, `code/scripts/README.md`, `code/backoffice/src/lib/export-utils.ts`",14,bff65cb671f6,2026-02-02,"feat: Introduce comprehensive AI agent system with BMM, BMB, TEA, and CIS workflows, agents, and commands.","moyenne/faible: compliance, report, template",e6d9d20bda03,2026-05-29,"test: add classification UX proof + POV demo, KYC compliance visual demo, agent UX screenshots","moyenne/faible: compliance, report",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
148,[ANALYTICS-09] DB — Migration DWH (dim + fact tables),https://github.com/Ken-Andre/bicec-veripass/issues/148,Task,"database, analytics",high,M6 - Analytics & Demo,"DB — Migration DWH (dim + fact tables): Migration 013_dwh : toutes les tables dim_* et fact_*; Index sur fact_kyc_funnel.session_date, fact_ocr_performance.extraction_date",Terminé probable,haute,"`013_dwh` dans `code/backend/alembic/versions/014_merge_heads.py`; `fact_kyc_funnel` dans `code/backend/alembic/versions/013_dwh.py`; `session_date` dans `code/backend/alembic/versions/013_dwh.py`; fichiers proches: `code/backend/alembic/versions/013_dwh.py`, `code/backend/alembic/versions/014_merge_heads.py`, `CHANGELOG.md`",37,68b8a083be16,2026-03-21,feat(db): add ADDRESS/AML/DWH Alembic migrations (#193 #136 #148),"haute: référence issue #148, 013_dwh",68b8a083be16,2026-03-21,feat(db): add ADDRESS/AML/DWH Alembic migrations (#193 #136 #148),"haute: référence issue #148, 013_dwh",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
147,[ANALYTICS-08] Back-Office React — OCR Observability View,https://github.com/Ken-Andre/bicec-veripass/issues/147,Task,"frontend, backoffice, analytics",medium,M6 - Analytics & Demo,Back-Office React — OCR Observability View: Page /analytics/ocr (Sylvie only); Tableau : FER par engine (PaddleOCR vs GLM-OCR) par jour,Terminé probable,haute,"`/analytics/ocr` dans `code/backoffice/src/pages/analytics/OcrObservabilityPage.tsx`; fichiers proches: `CHANGELOG.md`, `code/backoffice/src/pages/analytics/OcrObservabilityPage.tsx`, `code/README.md`",17,8abcbdfb63c2,2026-04-05,feat(analytics): add initial KYC funnel and OCR observability pages,"moyenne/faible: /analytics/ocr, observability, analytics",8abcbdfb63c2,2026-04-05,feat(analytics): add initial KYC funnel and OCR observability pages,"moyenne/faible: /analytics/ocr, observability, analytics",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
146,[ANALYTICS-07] Back-Office React — Agent Performance Table,https://github.com/Ken-Andre/bicec-veripass/issues/146,Task,"frontend, backoffice, analytics",medium,M6 - Analytics & Demo,"Back-Office React — Agent Performance Table: Tableau agents : nom, dossiers traités aujourd'hui, temps moyen validation, FTR (First Time Right) rate; GET /analytics/agents/performance?date_from={}&date_to={}",Terminé probable,haute,"`date_from` dans `code/backoffice/src/pages/analytics/AnalyticsPage.tsx`; `date_to` dans `paddleocr_test/notebooks/ocr_utils.py`; fichiers proches: `paddleocr_test/notebooks/ocr_utils.py`, `code/backoffice/src/pages/analytics/AnalyticsPage.tsx`, `CHANGELOG.md`",23,,,,,,,,,Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
145,[ANALYTICS-06] Back-Office React — Funnel Chart Component,https://github.com/Ken-Andre/bicec-veripass/issues/145,Task,"frontend, backoffice, analytics",medium,M6 - Analytics & Demo,Back-Office React — Funnel Chart Component: Composant <KYCFunnelChart /> : bar chart horizontal Recharts avec 7 étapes; Afficher taux de conversion par étape en pourcentage,Terminé probable,haute,"`device_type` dans `code/backend/alembic/versions/029_dwh_analytics_events.py`; fichiers proches: `code/backend/alembic/versions/029_dwh_analytics_events.py`, `CHANGELOG.md`, `code/backoffice/src/pages/compliance/ComplianceDashboard.tsx`",17,,,,,,,,,Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
144,[ANALYTICS-05] Backend — DWH Incremental Refresh Celery Cron,https://github.com/Ken-Andre/bicec-veripass/issues/144,Task,"backend, analytics",medium,M6 - Analytics & Demo,Backend — DWH Incremental Refresh Celery Cron: Celery Beat task refresh_dwh_incremental : cron toutes les 5min; Mettre à jour dim_date si nouveau jour,Terminé probable,haute,"`celery` dans `CHANGELOG.md`; fichiers proches: `CHANGELOG.md`, `code/scripts/setup-cron.sh`, `code/test_celery.py`",13,768a59744f5a,2026-03-18,"feat: add backend infrastructure with database, Celery, and models",moyenne/faible: celery,960982b5d662,2026-05-28,"refactor(tasks): rewrite KYC/Sanctions celery tasks with SQLAlchemy 2.0 async, add NIU duplicate SequenceMatcher",moyenne/faible: celery,Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
143,[ANALYTICS-04] Backend — Audit Log Viewer + COBAC Export,https://github.com/Ken-Andre/bicec-veripass/issues/143,Task,"backend, backoffice, analytics",high,M6 - Analytics & Demo,Backend — Audit Log Viewer + COBAC Export: GET /audit-logs?session_id&agent_id&date_from&event_type : recherche paginée; Vérification SHA-256 à la demande : GET /audit-logs/{id}/verify,Terminé probable,haute,"`compliance` dans `CHANGELOG.md`; `session_id` dans `code/scripts/seed_kyc_compliance_visual_demo.py`; `agent_id` dans `code/scripts/seed_kyc_compliance_visual_demo.py`; fichiers proches: `code/scripts/seed_kyc_compliance_visual_demo.py`, `CHANGELOG.md`, `code/backoffice/src/pages/analytics/AnalyticsPage.tsx`",42,393016e263c2,2026-05-28,"test: add agent UX regression, compliance MVP, dossier viewer fixes, Thomas operational audit evidence","haute: compliance, audit, viewer",393016e263c2,2026-05-28,"test: add agent UX regression, compliance MVP, dossier viewer fixes, Thomas operational audit evidence","haute: compliance, audit, viewer",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
142,[ANALYTICS-03] Back-Office — Sylvie's Command Dashboard,https://github.com/Ken-Andre/bicec-veripass/issues/142,Task,"frontend, backoffice, analytics",high,M6 - Analytics & Demo,"Back-Office — Sylvie's Command Dashboard: Page CommandCenter avec tiles RYG (Recharts); Tiles : Queue SLA validés ≤ 2h, Liveness Failure Rate, Duplicate Alert Rate, Amplitude Batch Success, System Health",Terminé probable,haute,"`CommandCenter` dans `code/backoffice/src/App.tsx`; `/analytics/dashboard` dans `code/backoffice/src/services/dossier-service.ts`; fichiers proches: `CHANGELOG.md`, `code/backoffice/src/App.tsx`, `code/backoffice/src/services/dossier-service.ts`",21,c810b7e4ff27,2026-05-28,"feat(backoffice): AnalyticsPage tabs/filters, CommandCenter connected status, Compliance/Queue pages update","haute: commandcenter, command",c810b7e4ff27,2026-05-28,"feat(backoffice): AnalyticsPage tabs/filters, CommandCenter connected status, Compliance/Queue pages update","haute: commandcenter, command",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
141,[ANALYTICS-02] Backend — Star Schema Data Warehouse,https://github.com/Ken-Andre/bicec-veripass/issues/141,Task,"backend, database, analytics, aml",critical,M6 - Analytics & Demo,"Backend — Star Schema Data Warehouse: Tables dimension : dim_date, dim_device, dim_agency, dim_step, dim_agent; Tables fait : fact_kyc_funnel, fact_ocr_performance, fact_agent_load, fact_aml_screening",Terminé probable,moyenne,"`dim_agent` dans `code/backend/alembic/versions/029_dwh_analytics_events.py`; `fact_kyc_funnel` dans `code/backend/alembic/versions/013_dwh.py`; `fact_ocr_performance` dans `code/backend/alembic/versions/013_dwh.py`; fichiers proches: `code/backend/alembic/versions/013_dwh.py`, `code/backend/alembic/versions/029_dwh_analytics_events.py`, `code/backend/alembic/versions/014_merge_heads.py`",27,,,,,,,,,Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
140,[ANALYTICS-01] Backend — Funnel Events Tracking,https://github.com/Ken-Andre/bicec-veripass/issues/140,Task,"backend, analytics",critical,M6 - Analytics & Demo,"Backend — Funnel Events Tracking: Service services/analytics/event_tracker.py : track_event(session_id, step, duration_ms, device_type, dropped=False); Événements à tracker : STEP_STARTED, STEP_COMPLETED, STEP_DROPPED (si session abandonnée)",Terminé probable,moyenne,"`fact_kyc_funnel` dans `code/backend/alembic/versions/013_dwh.py`; `/analytics/funnel` dans `code/backoffice/src/pages/analytics/FunnelAnalyticsPage.tsx`; `track_event` dans `code/backend/app/tasks/kyc.py`; fichiers proches: `code/backend/alembic/versions/029_dwh_analytics_events.py`, `code/scripts/seed_kyc_compliance_visual_demo.py`, `code/backend/alembic/versions/013_dwh.py`",42,8abcbdfb63c2,2026-04-05,feat(analytics): add initial KYC funnel and OCR observability pages,"moyenne/faible: /analytics/funnel, funnel, analytics",41c6e56a411f,2026-04-12,"fix(hardening): remediate technical debt, impure renders, and type instability (18 files)","moyenne/faible: /analytics/funnel, service, services",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
139,[AML-11] Backend — AML False Positive Rate Reporting,https://github.com/Ken-Andre/bicec-veripass/issues/139,Task,"backend, analytics, aml",low,M5 - Full KYC Flow,"Backend — AML False Positive Rate Reporting: Vue SQL v_aml_fp_rate : {week, alerts_total, cleared_fp, confirmed, fp_rate_pct}; Endpoint GET /analytics/aml/fp-rate?weeks=4 (Thomas/Sylvie)",Terminé probable,haute,"`aml` dans `CHANGELOG.md`; fichiers proches: `CHANGELOG.md`, `paddleocr_test/test_structure.py`, `code/mobile/src/services/mediapipeService.ts`",13,ea6f9655fe2f,2026-05-24,"fix(backend): add AML alert detail endpoint, grant THOMAS analytics access, restrict queue","haute: aml, analytics, thomas",ea6f9655fe2f,2026-05-24,"fix(backend): add AML alert detail endpoint, grant THOMAS analytics access, restrict queue","haute: aml, analytics, thomas",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
138,[AML-10] Back-Office — Thomas AML Statistics Tab,https://github.com/Ken-Andre/bicec-veripass/issues/138,Task,"frontend, backoffice, analytics, aml",low,M5 - Full KYC Flow,"Back-Office — Thomas AML Statistics Tab: Onglet ""Statistiques AML"" dans le dashboard Thomas; Tiles : alertes PENDING, traitées aujourd'hui, taux faux positifs",Terminé probable,haute,"`aml` dans `CHANGELOG.md`; fichiers proches: `CHANGELOG.md`, `code/test_celery.py`, `code/README.md`",16,355e960aebcc,2026-02-10,Comment out YAML frontmatter in UX spec,moyenne/faible: aml,e6d9d20bda03,2026-05-29,"test: add classification UX proof + POV demo, KYC compliance visual demo, agent UX screenshots","moyenne/faible: aml, thomas, dashboard",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
137,[AML-09] Backend — AML Screening Auto-trigger post-soumission,https://github.com/Ken-Andre/bicec-veripass/issues/137,Task,"backend, aml",high,M5 - Full KYC Flow,Backend — AML Screening Auto-trigger post-soumission: Signal post-score : compute_global_score terminé → auto-trigger run_aml_screening(session_id); Si AML ALERT → transition PENDING_KYC → COMPLIANCE_REVIEW immédiate,Terminé probable,haute,"`aml` dans `CHANGELOG.md`; `celery` dans `CHANGELOG.md`; `session_id` dans `code/scripts/seed_kyc_compliance_visual_demo.py`; fichiers proches: `CHANGELOG.md`, `code/scripts/seed_kyc_compliance_visual_demo.py`, `paddleocr_test/notebooks/README.md`",24,a4d29188d33b,2026-04-04,feat(backend): Register audit API router & add scheduled AML/KYC celery tasks,"haute: aml, celery",b01dff6fe16c,2026-04-09,fix: resolve ruff linting errors,"haute: aml, celery",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
136,[AML-08] DB — Migration tables AML,https://github.com/Ken-Andre/bicec-veripass/issues/136,Task,"database, aml",high,M5 - Full KYC Flow,DB — Migration tables AML: Migration 012_aml : tables sanctions_entries + aml_alerts; Index GIN pg_trgm sur sanctions_entries.full_name,Terminé probable,haute,"`012_aml` dans `code/backend/alembic/versions/017_drop_orphan_sanctions_entries.py`; `sanctions_entries` dans `code/backend/alembic/versions/017_drop_orphan_sanctions_entries.py`; `aml_alerts` dans `code/backoffice/src/pages/validation/EvidenceViewerPage.tsx`; fichiers proches: `code/backend/alembic/versions/012_aml.py`, `code/backend/alembic/versions/017_drop_orphan_sanctions_entries.py`, `CHANGELOG.md`",51,68b8a083be16,2026-03-21,feat(db): add ADDRESS/AML/DWH Alembic migrations (#193 #136 #148),"haute: référence issue #136, 012_aml, aml",b01dff6fe16c,2026-04-09,fix: resolve ruff linting errors,"haute: 012_aml, sanctions_entries, aml",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
135,[AML-07] Backend — AML Audit Trail complet,https://github.com/Ken-Andre/bicec-veripass/issues/135,Task,"backend, aml",medium,M5 - Full KYC Flow,"Backend — AML Audit Trail complet: Logguer dans audit_logs tous les événements AML : AML_SCREENING_TRIGGERED, AML_ALERT_CREATED, AML_CLEARED, AML_CONFIRMED_FREEZE; SHA-256 sur chaque événement AML (immutabilité)",Terminé probable,haute,"`audit_logs` dans `code/backend/tests/test_rbac.py`; `AML_CLEARED` dans `code/backoffice/src/types/kyc.ts`; `aml` dans `CHANGELOG.md`; fichiers proches: `CHANGELOG.md`, `code/backoffice/src/types/kyc.ts`, `code/backend/tests/test_rbac.py`",29,bff65cb671f6,2026-02-02,"feat: Introduce comprehensive AI agent system with BMM, BMB, TEA, and CIS workflows, agents, and commands.","haute: aml, compliance",e6d9d20bda03,2026-05-29,"test: add classification UX proof + POV demo, KYC compliance visual demo, agent UX screenshots","haute: aml, compliance",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
134,[AML-06] Backend — Weekly Sanctions Sync Celery Beat,https://github.com/Ken-Andre/bicec-veripass/issues/134,Task,"backend, aml",medium,M5 - Full KYC Flow,"Backend — Weekly Sanctions Sync Celery Beat: Celery Beat task sync_sanctions_weekly : re-télécharger OpenSanctions, upsert (no DELETE), log durée; Audit log : SANCTIONS_SYNC_COMPLETED avec {records_added, records_updated, duration_s}",Terminé probable,haute,"`aml` dans `CHANGELOG.md`; `celery` dans `CHANGELOG.md`; `duration_s` dans `code/backend/alembic/versions/013_dwh.py`; fichiers proches: `CHANGELOG.md`, `code/backend/alembic/versions/013_dwh.py`, `code/backend/app/tasks_demo.py`",25,a4d29188d33b,2026-04-04,feat(backend): Register audit API router & add scheduled AML/KYC celery tasks,"haute: aml, celery",960982b5d662,2026-05-28,"refactor(tasks): rewrite KYC/Sanctions celery tasks with SQLAlchemy 2.0 async, add NIU duplicate SequenceMatcher","haute: celery, sanctions",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
133,[AML-05] Backend — Account Freeze on AML Confirm,https://github.com/Ken-Andre/bicec-veripass/issues/133,Task,"backend, security, aml",high,M5 - Full KYC Flow,Backend — Account Freeze on AML Confirm: Transition state machine : COMPLIANCE_REVIEW → REJECTED (si AML confirmé); Mettre kyc_sessions.access_level = BLOCKED,Terminé probable,haute,"`aml` dans `CHANGELOG.md`; `kyc_sessions` dans `code/scripts/seed_kyc_compliance_visual_demo.py`; `access_level` dans `code/scripts/seed_kyc_compliance_visual_demo.py`; fichiers proches: `code/scripts/seed_kyc_compliance_visual_demo.py`, `CHANGELOG.md`, `code/backoffice/src/test/e2e/components.spec.ts`",28,f1eefc491789,2026-04-27,feat(backoffice): add dossier support chat and file access,"haute: aml, kyc_sessions",f1eefc491789,2026-04-27,feat(backoffice): add dossier support chat and file access,"haute: aml, kyc_sessions",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
132,[AML-04] Backend — AML Alert Management (Clear/Confirm/Escalate),https://github.com/Ken-Andre/bicec-veripass/issues/132,Task,"backend, aml",high,M5 - Full KYC Flow,"Backend — AML Alert Management (Clear/Confirm/Escalate): POST /aml/alerts/{id}/clear : body {justification} → status = CLEARED, dossier reprend son flux normal; POST /aml/alerts/{id}/confirm : → status = CONFIRMED, kyc_sessions.access_level = BLOCKED, notification OPERATIONS_MANAGER",Terminé probable,haute,"`{justification}` dans `code/backoffice/src/pages/compliance/ConflictResolverPage.tsx`; `aml` dans `CHANGELOG.md`; `kyc_sessions` dans `code/scripts/seed_kyc_compliance_visual_demo.py`; fichiers proches: `code/scripts/seed_kyc_compliance_visual_demo.py`, `CHANGELOG.md`, `code/backoffice/src/pages/compliance/ConflictResolverPage.tsx`",32,f1eefc491789,2026-04-27,feat(backoffice): add dossier support chat and file access,"haute: aml, kyc_sessions",f1eefc491789,2026-04-27,feat(backoffice): add dossier support chat and file access,"haute: aml, kyc_sessions",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
131,[AML-03] Back-Office — Thomas AML Dashboard,https://github.com/Ken-Andre/bicec-veripass/issues/131,Task,"frontend, backoffice, aml",high,M5 - Full KYC Flow,Back-Office — Thomas AML Dashboard: Page AMLAlerts : liste alertes PENDING triées par score DESC; Vue détail alerte : profil client vs profil sanctions side-by-side,Terminé probable,haute,"`AMLAlerts` dans `code/backoffice/src/types/index.ts`; `AML_CLEARED` dans `code/backoffice/src/types/kyc.ts`; `aml` dans `CHANGELOG.md`; fichiers proches: `CHANGELOG.md`, `code/scripts/seed_kyc_compliance_visual_demo.py`, `code/backoffice/src/types/index.ts`",32,8d9fec0aba02,2026-04-05,"feat(compliance): add agency CRUD, AML detail and dashboard pages","haute: aml, dashboard, detail",e6343c6803ba,2026-05-28,"fix(kyc): AmlAlertStatus PENDING→OPEN, DuplicateCheck NIU fields, agent activity tracking, analytics hooks","haute: amlalerts, aml, pending",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
130,[AML-02] Backend — Fuzzy Matching Engine,https://github.com/Ken-Andre/bicec-veripass/issues/130,Task,"backend, aml",critical,M5 - Full KYC Flow,"Backend — Fuzzy Matching Engine: Service services/aml/screening_service.py : screen_name(nom, prenom, ddn) -> List[AMLMatch]; Query pg_trgm : SELECT * FROM sanctions_entries WHERE similarity(full_name, ?) > 0.6 ORDER BY similarity DESC LIMIT 10",Terminé probable,haute,"`ALERT` dans `CHANGELOG.md`; `CLEAR` dans `CHANGELOG.md`; `aml_alerts` dans `code/backoffice/src/pages/validation/EvidenceViewerPage.tsx`; fichiers proches: `CHANGELOG.md`, `code/scripts/seed_kyc_compliance_visual_demo.py`, `code/backend/alembic/versions/012_aml.py`",56,af053f470af8,2026-03-06,feat: add AML/CFT screening view with fraud alerts to BackOffice,"haute: alert, aml",037329079c41,2026-06-02,docs: add BICEC presentation marketing pack,"haute: alert, aml",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
129,[AML-01] Backend — Seed PEP/Sanctions Lists & Weekly Sync Celery,https://github.com/Ken-Andre/bicec-veripass/issues/129,Task,"backend, aml",critical,M5 - Full KYC Flow,"Backend — Seed PEP/Sanctions Lists & Weekly Sync Celery: Créer table sanctions_entries : id, full_name, aliases (JSONB), dob, nationality, list_source, risk_category (PEP/SANCTION/BOTH); Index GIN pg_trgm sur full_name + GIN sur aliases",Terminé probable,haute,"`sanctions_entries` dans `code/backend/alembic/versions/017_drop_orphan_sanctions_entries.py`; `pg_trgm` dans `code/backend/alembic/versions/012_aml.py`; `full_name` dans `code/scripts/seed_kyc_compliance_visual_demo.py`; fichiers proches: `CHANGELOG.md`, `code/backend/alembic/versions/017_drop_orphan_sanctions_entries.py`, `paddleocr_test/notebooks/ocr_utils.py`",48,68b8a083be16,2026-03-21,feat(db): add ADDRESS/AML/DWH Alembic migrations (#193 #136 #148),"haute: 012_aml, aml",960982b5d662,2026-05-28,"refactor(tasks): rewrite KYC/Sanctions celery tasks with SQLAlchemy 2.0 async, add NIU duplicate SequenceMatcher","haute: celery, sanctions",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
128,[KYC-CONS-03] Backend — Loi 2024-017 compliance pack metadata,https://github.com/Ken-Andre/bicec-veripass/issues/128,Task,backend,,M5 - Full KYC Flow,Backend — Loi 2024-017 compliance pack metadata: Implement metadata tagging for Loi 2024-017 compliance; Store consent versions and legal text snapshots,Terminé probable,haute,"`compliance` dans `CHANGELOG.md`; `audit` dans `CHANGELOG.md`; fichiers proches: `CHANGELOG.md`, `code/scripts/export-docker-stack.ps1`, `code/README.md`",21,8191b05c6f8e,2026-04-05,feat(backoffice): implement system audit logs page with filters,"haute: audit, implement",435643b4f7d5,2026-05-28,"docs: generate maintainer documentation suite, COBAC audit evidence, Thomas operational audit screenshots","haute: compliance, audit",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
127,[KYC-CONS-02] Integration — Consent timestamping & IP logging,https://github.com/Ken-Andre/bicec-veripass/issues/127,Task,"backend, address",,M5 - Full KYC Flow,Integration — Consent timestamping & IP logging: Logic to record consent timestamp and IP address on the backend; Persist consent events to audit_logs table,Terminé probable,haute,"`audit_logs` dans `code/backend/tests/test_rbac.py`; `compliance` dans `CHANGELOG.md`; fichiers proches: `CHANGELOG.md`, `code/backend/tests/test_rbac.py`, `paddleocr_test/notebooks/ocr_utils.py`",20,bff65cb671f6,2026-02-02,"feat: Introduce comprehensive AI agent system with BMM, BMB, TEA, and CIS workflows, agents, and commands.","moyenne/faible: compliance, integration",e6d9d20bda03,2026-05-29,"test: add classification UX proof + POV demo, KYC compliance visual demo, agent UX screenshots",moyenne/faible: compliance,Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
126,[KYC-CONS-01] UI — Consent checkboxes & Legal policy modals,https://github.com/Ken-Andre/bicec-veripass/issues/126,Task,mobile,,M5 - Full KYC Flow,"UI — Consent checkboxes & Legal policy modals: Implement Consent screen with three mandatory checkboxes; Links/Modals for Terms, Privacy, and Biometric policies",Terminé probable,haute,"`compliance` dans `CHANGELOG.md`; fichiers proches: `CHANGELOG.md`, `code/backoffice/src/test/e2e/dossier-viewer-fixes.evidence.ts`, `code/mobile/src/views/kyc/SignatureScreen.test.tsx`",16,93bb82f1ec46,2026-02-23,docs: update PRD with AML compliance workflow and PIN setup,moyenne/faible: compliance,e6d9d20bda03,2026-05-29,"test: add classification UX proof + POV demo, KYC compliance visual demo, agent UX screenshots",moyenne/faible: compliance,Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
125,[KYC-ADDR-08] Backend — Automated dossier routing based on agency ID,https://github.com/Ken-Andre/bicec-veripass/issues/125,Task,backend,,M5 - Full KYC Flow,Backend — Automated dossier routing based on agency ID: Implement logic to route dossiers to specific agent pools based on Agency ID; Map Cameroonian regions/cities to BICEC agency IDs,Terminé probable,haute,"`logic` dans `CHANGELOG.md`; fichiers proches: `CHANGELOG.md`, `code/mobile/src/views/kyc/SignatureScreen.test.tsx`, `code/backoffice/src/test/e2e/thomas-operational-audit.evidence.ts`",16,4dfb3bb7e04c,2026-05-18,"feat(kyc): add image processing, encryption utilities, and OCR merging logic",moyenne/faible: logic,4dfb3bb7e04c,2026-05-18,"feat(kyc): add image processing, encryption utilities, and OCR merging logic",moyenne/faible: logic,Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
124,[KYC-ADDR-07] Backend — Utility bill GLM-OCR semantic extraction,https://github.com/Ken-Andre/bicec-veripass/issues/124,Task,backend,,M5 - Full KYC Flow,"Backend — Utility bill GLM-OCR semantic extraction: Implement GLM-OCR extraction for Utility Bills (ENEO/CAMWATER); Semantic mapping: Extract Date, Agency, and potentially Client Name",Terminé probable,haute,"`kyc_sessions` dans `code/scripts/seed_kyc_compliance_visual_demo.py`; fichiers proches: `CHANGELOG.md`, `code/scripts/seed_kyc_compliance_visual_demo.py`, `docs/schema/ddl-complete.sql`",16,,,,,,,,,Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
123,[KYC-ADDR-06] UI — NIU declaration vs document upload toggle,https://github.com/Ken-Andre/bicec-veripass/issues/123,Task,mobile,,M5 - Full KYC Flow,UI — NIU declaration vs document upload toggle: UI for NIU entry method selection; Upload component for NIU Attestation document,Partiellement terminé,moyenne,"fichiers proches: `CHANGELOG.md`, `code/mobile/tests/e2e/kyc-auth-and-atms.spec.ts`, `paddleocr_test/notebooks/ocr_utils.py`",11,,,,,,,,,Planifier le reste à faire ou expliciter le périmètre réellement livré.
122,[KYC-ADDR-05] Backend — NIU regex validation & flag logic,https://github.com/Ken-Andre/bicec-veripass/issues/122,Task,backend,,M5 - Full KYC Flow,"Backend — NIU regex validation & flag logic: Implement Regex validation for Cameroonian NIU (e.g., M0XX12345678A); Logic to flag session as niu_declarative=true upon manual entry",Terminé probable,haute,"`niu_declarative=true` dans `code/scripts/seed_kyc_compliance_visual_demo.py`; `LIMITED_ACCESS` dans `code/mobile/src/views/dashboard/DashboardPage.tsx`; `compliance` dans `CHANGELOG.md`; fichiers proches: `code/scripts/seed_kyc_compliance_visual_demo.py`, `CHANGELOG.md`, `code/mobile/src/views/dashboard/DashboardPage.tsx`",31,e6d9d20bda03,2026-05-29,"test: add classification UX proof + POV demo, KYC compliance visual demo, agent UX screenshots","haute: compliance, flag",e6d9d20bda03,2026-05-29,"test: add classification UX proof + POV demo, KYC compliance visual demo, agent UX screenshots","haute: compliance, flag",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
121,[KYC-ADDR-04] UI — Map/Location preview (optional),https://github.com/Ken-Andre/bicec-veripass/issues/121,Task,"mobile, address",,M5 - Full KYC Flow,UI — Map/Location preview (optional): Implement optional Map view for address confirmation; Simple marker placement based on GPS/Selection,Partiellement terminé,moyenne,"fichiers proches: `CHANGELOG.md`, `code/scripts/import-docker-stack.ps1`, `paddleocr_test/notebooks/05_pdf_image_converter.py`",11,,,,,,,,,Planifier le reste à faire ou expliciter le périmètre réellement livré.
120,[KYC-ADDR-03] Integration — GPS coordinate capture & proximity check,https://github.com/Ken-Andre/bicec-veripass/issues/120,Task,"backend, mobile",,M5 - Full KYC Flow,Integration — GPS coordinate capture & proximity check: Integrate browser Geolocation API; Capture and encrypt coordinates in the session,Terminé probable,haute,"`api` dans `CHANGELOG.md`; fichiers proches: `CHANGELOG.md`, `paddleocr_test/notebooks/ocr_utils.py`, `code/mobile/src/services/atmLocator.test.ts`",16,bff65cb671f6,2026-02-02,"feat: Introduce comprehensive AI agent system with BMM, BMB, TEA, and CIS workflows, agents, and commands.","moyenne/faible: api, integration, check",d2f794e975c7,2026-06-06,"chore: reduce repo size - untrack agent dirs, rendered-word, bmad media","moyenne/faible: api, integration, check",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
119,[KYC-ADDR-02] UI — Progressive cascade dropdowns for address entry,https://github.com/Ken-Andre/bicec-veripass/issues/119,Task,"mobile, address",,M5 - Full KYC Flow,"UI — Progressive cascade dropdowns for address entry: Implement address entry screen in mobile PWA; Progressive cascade logic for dropdowns (Ville triggers Commune, etc.)",Partiellement terminé,moyenne,"fichiers proches: `CHANGELOG.md`, `code/mobile/src/utils/imageCompression.ts`, `code/backend/app/tasks/kyc.py`",12,,,,,,,,,Planifier le reste à faire ou expliciter le périmètre réellement livré.
